방문지역,연령대,관광지,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
여수,20대,초도,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0
여수,20대,해상케이블카.오동도,18.24,5.41,3.2,3.72,9.5,4.74,1.48,0.73,18.86,1.23,2.61,3.84,7.79,9.19,2.63,6.31,0.5
여수,20대,해양레일바이크,14.86,5.41,1.35,2.7,9.46,9.46,0,0,16.22,0,2.7,4.05,9.46,17.57,1.35,5.41,0
여수,20대,향일암,19.36,5.26,4.43,4.15,11.07,3.87,1.24,1.11,21.72,0.69,3.04,4.01,4.15,7.88,2.63,5.12,0.28
여수,20대,화태도,0,14.29,0,0,14.29,0,0,14.29,28.57,0,0,0,0,14.29,0,14.29,0
여수,30대,합계(중복제외),17.26,5.21,3.29,3.4,12.07,3.38,1.57,1.16,17.28,0.77,2.17,3.76,6.09,13.19,2.05,6.99,0.37
여수,30대,개도,0,0,0,0,33.33,0,0,0,0,0,0,0,33.33,33.33,0,0,0
여수,30대,거문도,14.81,7.41,0,0,11.11,7.41,0,0,18.52,7.41,3.7,0,0,22.22,0,7.41,0
여수,30대,게장골목,22.11,4.77,1.01,2.26,12.81,3.27,1.76,0.5,15.08,1.26,1.51,3.27,5.53,19.1,0.75,4.27,0.75
여수,30대,경도,26.26,2.02,1.01,3.03,11.11,8.08,1.01,1.01,21.21,1.01,0,3.03,6.06,14.14,1.01,0,0
여수,30대,금오도,24.24,0,0,0,15.15,6.06,0,0,24.24,0,3.03,3.03,3.03,18.18,0,3.03,0
여수,30대,대두라도,8.33,0,0,0,41.67,16.67,0,0,16.67,0,0,0,0,16.67,0,0,0
여수,30대,대여자도,0,0,0,0,50,0,0,0,25,0,0,0,0,25,0,0,0
여수,30대,돌산도,15.34,5.16,3.42,3.42,15.06,3.07,0.91,1.6,17.92,0.28,1.26,4.53,5.16,15.62,2.02,5.02,0.21
여수,30대,돌산우두리,16.9,6.25,4.07,3.68,11.99,3.49,1.61,1.26,18.69,0.64,2.36,3.4,6.04,10.22,1.93,7.31,0.16
